Date,Not indexed,Indexed,Impressions
2026-01-20,,,0
2026-01-21,,,0
2026-01-22,,,0
2026-01-23,0,9,0
2026-01-24,2,8,0
2026-01-25,2,8,2
2026-01-26,2,8,0
2026-01-27,893,61,0
2026-01-28,893,61,1
2026-01-29,893,61,9
2026-01-30,893,61,44
