"Bowie, MD",2000-01-31,189866.62960668575
"Bowie, MD",2000-02-29,189588.0015916591
"Bowie, MD",2000-03-31,189405.32111108716
"Bowie, MD",2000-04-30,189073.67002127215
"Bowie, MD",2000-05-31,189164.60943127787
"Bowie, MD",2000-06-30,189604.73997229416
"Bowie, MD",2000-07-31,190284.5163841416
"Bowie, MD",2000-08-31,190601.59323403984
"Bowie, MD",2000-09-30,191125.94030089164
"Bowie, MD",2000-10-31,192043.5230012384
"Bowie, MD",2000-11-30,193408.9217756079
"Bowie, MD",2000-12-31,194657.2493905473
"Bowie, MD",2001-01-31,195406.0754796666
"Bowie, MD",2001-02-28,195948.50400911723
"Bowie, MD",2001-03-31,196446.2044940289
"Bowie, MD",2001-04-30,197322.2443011944
"Bowie, MD",2001-05-31,198632.3475361425
"Bowie, MD",2001-06-30,200063.15672248937
"Bowie, MD",2001-07-31,201417.41859597285
"Bowie, MD",2001-08-31,202961.74435700112
"Bowie, MD",2001-09-30,204748.920887558
"Bowie, MD",2001-10-31,206669.6554421951
"Bowie, MD",2001-11-30,208844.58587352568
"Bowie, MD",2001-12-31,211133.33688201875
"Bowie, MD",2002-01-31,213332.8036380188
"Bowie, MD",2002-02-28,214658.70756198568
"Bowie, MD",2002-03-31,215985.855591731
"Bowie, MD",2002-04-30,217569.86062031932
"Bowie, MD",2002-05-31,219989.0314971942
"Bowie, MD",2002-06-30,222563.2943251473
"Bowie, MD",2002-07-31,225579.11319028836
"Bowie, MD",2002-08-31,228879.2121957004
"Bowie, MD",2002-09-30,232128.4967272148
"Bowie, MD",2002-10-31,235219.9418086613
"Bowie, MD",2002-11-30,237375.8414424483
"Bowie, MD",2002-12-31,239673.58894273968
"Bowie, MD",2003-01-31,241811.3150209655
"Bowie, MD",2003-02-28,244170.5038299696
"Bowie, MD",2003-03-31,246325.1386247618
"Bowie, MD",2003-04-30,248585.22703382705
"Bowie, MD",2003-05-31,251564.2477494314
"Bowie, MD",2003-06-30,254562.5409055551
"Bowie, MD",2003-07-31,257924.38715635604
"Bowie, MD",2003-08-31,261216.5307825814
"Bowie, MD",2003-09-30,265194.63202712307
"Bowie, MD",2003-10-31,269354.3048479739
"Bowie, MD",2003-11-30,273257.815048197
"Bowie, MD",2003-12-31,276065.9519663086
"Bowie, MD",2004-01-31,278097.83912485465
"Bowie, MD",2004-02-29,280494.2901791404
"Bowie, MD",2004-03-31,283419.90040112066
"Bowie, MD",2004-04-30,286747.8637975603
"Bowie, MD",2004-05-31,289967.6982536979
"Bowie, MD",2004-06-30,293958.54956204235
"Bowie, MD",2004-07-31,299193.3651374699
"Bowie, MD",2004-08-31,305328.2003823876
"Bowie, MD",2004-09-30,311566.2373123921
"Bowie, MD",2004-10-31,317461.16364754684
"Bowie, MD",2004-11-30,322414.3188289215
"Bowie, MD",2004-12-31,327858.615206814
"Bowie, MD",2005-01-31,333333.77004535514
"Bowie, MD",2005-02-28,339650.3327049526
"Bowie, MD",2005-03-31,344486.9010832067
"Bowie, MD",2005-04-30,349696.84863053187
"Bowie, MD",2005-05-31,355362.8650243632
"Bowie, MD",2005-06-30,362923.7043766053
"Bowie, MD",2005-07-31,370972.33360038913
"Bowie, MD",2005-08-31,378592.811413548
"Bowie, MD",2005-09-30,386349.8616807892
"Bowie, MD",2005-10-31,394169.1060467312
"Bowie, MD",2005-11-30,401310.7872217498
"Bowie, MD",2005-12-31,407523.0500311191
"Bowie, MD",2006-01-31,411752.5098279303
"Bowie, MD",2006-02-28,415807.0509000406
"Bowie, MD",2006-03-31,420430.1128893678
"Bowie, MD",2006-04-30,425808.1159130928
"Bowie, MD",2006-05-31,430914.6458800456
"Bowie, MD",2006-06-30,434180.6851074408
"Bowie, MD",2006-07-31,438583.4193424927
"Bowie, MD",2006-08-31,443553.9987714218
"Bowie, MD",2006-09-30,447485.54736715485
"Bowie, MD",2006-10-31,448610.2695507603
"Bowie, MD",2006-11-30,449146.172540881
"Bowie, MD",2006-12-31,449541.0810059048
"Bowie, MD",2007-01-31,449743.7230297741
"Bowie, MD",2007-02-28,448540.3864106294
"Bowie, MD",2007-03-31,448402.04829372326
"Bowie, MD",2007-04-30,447986.5153072006
"Bowie, MD",2007-05-31,447112.9108366815
"Bowie, MD",2007-06-30,445573.7133623512
"Bowie, MD",2007-07-31,443867.7797086455
"Bowie, MD",2007-08-31,443164.5597189427
"Bowie, MD",2007-09-30,442857.0670172709
"Bowie, MD",2007-10-31,440414.4358889938
"Bowie, MD",2007-11-30,434972.2799853773
"Bowie, MD",2007-12-31,428120.2909859295
"Bowie, MD",2008-01-31,425082.337129744
"Bowie, MD",2008-02-29,422229.7439090162
"Bowie, MD",2008-03-31,418677.5888071051
"Bowie, MD",2008-04-30,414039.08167287806
"Bowie, MD",2008-05-31,408985.55921978975
"Bowie, MD",2008-06-30,402820.0450480041
"Bowie, MD",2008-07-31,393456.9983763856
"Bowie, MD",2008-08-31,385356.4287410112
"Bowie, MD",2008-09-30,378017.39738682937
"Bowie, MD",2008-10-31,372206.5650822455
"Bowie, MD",2008-11-30,367928.7410715059
"Bowie, MD",2008-12-31,364974.8655271179
"Bowie, MD",2009-01-31,361845.01673101465
"Bowie, MD",2009-02-28,353924.81779514585
"Bowie, MD",2009-03-31,343741.8467353505
"Bowie, MD",2009-04-30,333684.39314947504
"Bowie, MD",2009-05-31,327681.963339574
"Bowie, MD",2009-06-30,323695.8329019621
"Bowie, MD",2009-07-31,318659.47585858457
"Bowie, MD",2009-08-31,312996.2563798649
"Bowie, MD",2009-09-30,307047.2812678854
"Bowie, MD",2009-10-31,302859.7381695272
"Bowie, MD",2009-11-30,300336.0868863586
"Bowie, MD",2009-12-31,298155.50346007623
"Bowie, MD",2010-01-31,296326.6298618224
"Bowie, MD",2010-02-28,294165.57688581146
"Bowie, MD",2010-03-31,292073.9440978418
"Bowie, MD",2010-04-30,289625.5495598335
"Bowie, MD",2010-05-31,287686.24421003734
"Bowie, MD",2010-06-30,286698.1896933608
"Bowie, MD",2010-07-31,286294.53802889906
"Bowie, MD",2010-08-31,285598.29104709445
"Bowie, MD",2010-09-30,284255.6050939469
"Bowie, MD",2010-10-31,282865.71991491463
"Bowie, MD",2010-11-30,280829.73347700963
"Bowie, MD",2010-12-31,278788.43781215005
"Bowie, MD",2011-01-31,277309.61692725547
"Bowie, MD",2011-02-28,276596.8811913295
"Bowie, MD",2011-03-31,276943.813349453
"Bowie, MD",2011-04-30,277200.35277317005
"Bowie, MD",2011-05-31,276478.3363370963
"Bowie, MD",2011-06-30,275803.9078313918
"Bowie, MD",2011-07-31,274111.1628504037
"Bowie, MD",2011-08-31,272229.6922422505
"Bowie, MD",2011-09-30,268441.259379324
"Bowie, MD",2011-10-31,265576.11524695164
"Bowie, MD",2011-11-30,264414.78166836675
"Bowie, MD",2011-12-31,264776.9977386436
"Bowie, MD",2012-01-31,264910.92508395034
"Bowie, MD",2012-02-29,264818.2667430623
"Bowie, MD",2012-03-31,264351.7116445001
"Bowie, MD",2012-04-30,264892.8448467832
"Bowie, MD",2012-05-31,265794.22864089743
"Bowie, MD",2012-06-30,267193.90770792885
"Bowie, MD",2012-07-31,267823.224550147
"Bowie, MD",2012-08-31,268397.18690288527
"Bowie, MD",2012-09-30,269629.2821958475
"Bowie, MD",2012-10-31,271296.5091368998
"Bowie, MD",2012-11-30,273584.2742517993
"Bowie, MD",2012-12-31,275862.4331584924
"Bowie, MD",2013-01-31,278118.3070719375
"Bowie, MD",2013-02-28,280217.37324612244
"Bowie, MD",2013-03-31,282246.54948576743
"Bowie, MD",2013-04-30,284783.4796925367
"Bowie, MD",2013-05-31,287647.10166552576
"Bowie, MD",2013-06-30,290405.1620971148
"Bowie, MD",2013-07-31,293168.2014240436
"Bowie, MD",2013-08-31,295762.97205651243
"Bowie, MD",2013-09-30,298371.71120290755
"Bowie, MD",2013-10-31,300674.18192140333
"Bowie, MD",2013-11-30,302473.89552780514
